is_coint,adf_statistic,p_value,hedge_ratio,intercept,base,target,zero_crossings,half_life,spearman
True,-3.076695939678265,0.02833,3.08359,60.37202,ZEC-USDT,XMR-USDT,0,22.79161,0.833
True,-3.582457281634824,0.00611,0.00865,0.39133,ZEC-USDT,LUNA2-USDT,0,10.25798,0.612
True,-3.425110183788437,0.01013,4.4537,-41.67591,ZEC-USDT,METIS-USDT,0,36.49907,0.857
True,-3.282455483381922,0.01568,5e-05,0.0026,ZEC-USDT,LEVER-USDT,0,32.15799,0.24
True,-3.051789528535081,0.03033,3e-05,0.00019,ZEC-USDT,SPELL-USDT,0,27.27124,0.856
True,-3.1478730780713216,0.02321,0.06532,1.77683,ZEC-USDT,MASK-USDT,0,22.26231,0.921
True,-3.4030355754262738,0.01086,0.02884,38.95155,ZEC-USDT,EGLD-USDT,0,23.32427,0.162
True,-3.3016167929193636,0.01481,0.15285,5.9023,ZEC-USDT,XVS-USDT,0,23.60239,0.696
True,-3.084900731920909,0.02769,0.00211,0.76057,ZEC-USDT,SFP-USDT,0,19.23844,0.163
True,-2.9511134650775714,0.03972,0.01295,0.6307,ZEC-USDT,XTZ-USDT,0,28.89021,0.764
True,-3.309026267456928,0.01448,0.00032,0.03607,ZEC-USDT,GALA-USDT,0,16.35804,0.441
True,-3.140247603632838,0.02371,0.02355,0.10543,ZEC-USDT,OMG-USDT,0,24.98257,0.934
True,-3.471927160489492,0.00874,0.10637,1.81787,ZEC-USDT,FXS-USDT,0,21.71321,0.89
True,-2.952616524934941,0.03956,-0.06873,17.15677,ZEC-USDT,NEO-USDT,0,28.52775,-0.124
True,-3.0964817844665418,0.02681,0.78905,10.95868,ZEC-USDT,KSM-USDT,0,25.21916,0.891
True,-3.351778258941568,0.01272,0.00888,0.47289,ZEC-USDT,COMBO-USDT,0,19.2974,0.582
True,-3.5316243112210532,0.00721,-0.0225,0.86821,ZEC-USDT,BLZ-USDT,0,26.07233,-0.713
True,-3.796970009449481,0.00294,4.63703,-19.73104,ZEC-USDT,AAVE-USDT,0,19.17227,0.906
True,-2.876307708618468,0.04817,8e-05,0.03335,ZEC-USDT,VET-USDT,0,24.43469,0.3
True,-2.964230532055437,0.03837,0.02617,0.02163,SNX-USDT,FLM-USDT,0,29.60377,0.911
True,-3.1424011368096036,0.02357,15.929,93.37617,HOOK-USDT,TRB-USDT,0,74.61863,-0.212
True,-3.1891137119650255,0.02062,0.39438,0.34533,HOOK-USDT,COMBO-USDT,0,24.77538,0.61
True,-2.887781907978413,0.04679,0.4456,0.42494,HOOK-USDT,EOS-USDT,0,30.90041,0.732
True,-3.000377823201725,0.03486,0.01428,0.00951,HOOK-USDT,USTC-USDT,0,29.93125,0.446
True,-4.067716230327673,0.00109,0.67384,0.22824,HOOK-USDT,PORTAL-USDT,0,15.829,0.741
True,-3.061817369106862,0.02951,1.24971,-0.25179,HOOK-USDT,ENA-USDT,0,31.62419,0.762
True,-2.910988644337499,0.04409,59.07139,6.73067,HOOK-USDT,COMP-USDT,0,37.68578,0.831
True,-3.1792918738893183,0.02122,0.00931,0.00092,HOOK-USDT,AMB-USDT,0,29.12907,0.734
True,-3.213359288045406,0.01922,0.07711,0.24178,HOOK-USDT,POWR-USDT,0,33.57794,0.213
True,-3.100186889888113,0.02654,0.5635,-0.49978,API3-USDT,ONDO-USDT,0,26.61831,0.907
True,-3.704605750658403,0.00405,-0.11784,1.85847,API3-USDT,ZETA-USDT,0,22.85377,-0.23
True,-3.615766116822269,0.00547,0.14524,-0.1779,API3-USDT,MYRO-USDT,0,19.86676,0.876
True,-2.8913374478063187,0.04636,-0.49726,4.63165,API3-USDT,MAVIA-USDT,0,31.15599,-0.579
True,-3.082440850769159,0.02788,0.00392,0.01433,API3-USDT,1000SHIB-USDT,0,24.29858,0.78
True,-4.544411326214731,0.00016,0.01702,0.06546,API3-USDT,1000LUNC-USDT,0,10.67021,0.866
True,-3.240186310810563,0.01777,0.11414,-0.08534,API3-USDT,1000FLOKI-USDT,0,24.57979,0.863
True,-3.2339041024482085,0.0181,0.018,-0.01746,API3-USDT,1000BONK-USDT,0,24.2802,0.842
True,-3.8714503186449236,0.00226,0.06073,0.4447,API3-USDT,LUNA2-USDT,0,8.91759,0.631
True,-3.3148413678787323,0.01423,0.00034,0.00284,API3-USDT,LEVER-USDT,0,30.53598,0.258
True,-3.39185632551896,0.01124,0.00018,0.00039,API3-USDT,SPELL-USDT,0,18.4706,0.854
True,-3.4860508848357483,0.00835,11.88509,-1.91519,HOOK-USDT,CYBER-USDT,0,21.65261,0.837
True,-3.1913256193714163,0.02049,0.02388,0.02305,HOOK-USDT,GALA-USDT,0,16.02054,0.536
True,-3.009782743473595,0.03399,0.0001,0.00552,ZEC-USDT,LINA-USDT,0,28.3201,0.584
True,-3.1518833678906013,0.02294,0.6886,0.51319,HOOK-USDT,TWT-USDT,0,48.35928,0.722
True,-4.465175345423397,0.00023,0.81376,-11.19421,ZEC-USDT,UNI-USDT,0,20.97876,0.918
True,-3.0410184124528805,0.03124,0.09112,0.87446,ZEC-USDT,BOND-USDT,0,29.02345,0.853
True,-2.9098111421750503,0.04422,0.27466,-2.60377,ZEC-USDT,ETHFI-USDT,0,34.48994,0.69
