is_coint,adf_statistic,p_value,hedge_ratio,intercept,base,target,zero_crossings,half_life
True,-3.5986197172669647,0.00579,0.02444,0.04173,GTC-USDT,NKN-USDT,8,89.86967
True,-2.9836941382690294,0.03645,0.01399,0.47119,COMP-USDT,EOS-USDT,8,244.05337
True,-3.3347666273631287,0.01339,33.85986,0.353,VET-USDT,EOS-USDT,8,210.20657
True,-3.711852936124709,0.00395,0.00251,0.01558,LPT-USDT,1000XEC-USDT,8,136.77868
True,-4.949859634171314,3e-05,0.19083,0.09875,FTM-USDT,CTSI-USDT,8,119.10824
True,-4.348570394232841,0.00037,0.00583,0.00492,CELO-USDT,DGB-USDT,8,152.05404
True,-5.321682377476488,0.0,155.85176,-10.54622,ATA-USDT,AXS-USDT,8,94.06064
True,-3.1840989465828393,0.02092,57.34185,870.10657,AR-USDT,ETH-USDT,8,326.91358
True,-2.992100070852618,0.03564,4.28364,-1.47713,MATIC-USDT,DYDX-USDT,8,269.08693
True,-3.2449495663346384,0.01753,0.23022,-6.21196,DASH-USDT,WAVES-USDT,8,627.99789
True,-3.7812035494515697,0.00311,0.04891,0.64293,AR-USDT,EOS-USDT,8,233.29557
True,-4.289651777854815,0.00046,5.45941,18.41281,FIL-USDT,COMP-USDT,8,123.72865
True,-5.0252743708459,2e-05,0.01698,0.05513,FIL-USDT,ATA-USDT,8,79.57672
True,-4.801877719338723,5e-05,0.00319,0.0508,AXS-USDT,NKN-USDT,8,102.63459
True,-2.8802734802870527,0.04769,0.04771,-0.12567,UNI-USDT,CTSI-USDT,8,356.42646
True,-5.099104877948176,1e-05,0.05061,0.03933,SUSHI-USDT,COTI-USDT,7,164.72993
True,-3.315416069369073,0.0142,0.01798,0.00549,LRC-USDT,1000SHIB-USDT,7,258.72632
True,-5.553110775658742,0.0,0.00258,-0.94706,MKR-USDT,SUSHI-USDT,7,263.79233
True,-4.8130119154681354,5e-05,9.00945,-1.75011,ADA-USDT,GTC-USDT,7,171.3835
True,-4.502115542612773,0.00019,0.42603,-1.80363,NEO-USDT,ALICE-USDT,7,270.67585
True,-4.232410813659918,0.00058,16.14054,4.17416,LRC-USDT,NEO-USDT,7,257.34021
True,-3.124124150022689,0.02482,0.00342,-0.08418,ZEC-USDT,GRT-USDT,7,460.73592
True,-8.584003008053172,0.0,2.96224,3.53292,SUSHI-USDT,LINK-USDT,7,86.89827
True,-3.994106145900315,0.00144,3880.70453,267.53486,ALPHA-USDT,DEFI-USDT,7,276.51639
True,-3.544011788844439,0.00693,0.45494,-11.8097,ZEC-USDT,AXS-USDT,7,404.94505
True,-3.1620928694683235,0.02229,0.0106,0.01239,SUSHI-USDT,VET-USDT,7,297.10695
True,-3.0900222617792266,0.0273,15.14309,-0.22197,OGN-USDT,ALICE-USDT,7,472.97002
True,-5.120221095092318,1e-05,0.47927,-0.06227,ADA-USDT,CTSI-USDT,7,161.02793
True,-5.352462733493375,0.0,60.10191,-2.64593,DOGE-USDT,MASK-USDT,7,216.12538
True,-3.253267693898548,0.0171,0.11301,-50.16888,MKR-USDT,KSM-USDT,7,329.49016
True,-3.702367972315349,0.00408,1.02187,0.11862,ALPHA-USDT,ONT-USDT,7,255.96639
True,-3.32942738347335,0.01361,2.07073,0.0195,ZIL-USDT,GALA-USDT,7,677.42628
True,-5.147277270175006,1e-05,207.65944,23.43237,ALPHA-USDT,DASH-USDT,7,257.44619
True,-3.1410031582596374,0.02366,6290674.74621,8614.10112,HOT-USDT,BTC-USDT,7,323.07481
True,-2.9312360763498213,0.04183,0.09102,0.30283,SUSHI-USDT,XRP-USDT,7,495.12587
True,-3.6389809448338353,0.00506,0.72155,-2.37089,UNI-USDT,MASK-USDT,7,354.76442
True,-3.916554166773539,0.00192,24458.65461,13987.07126,LRC-USDT,BTC-USDT,7,331.76318
True,-3.5527804393676217,0.00673,0.01858,0.05546,SUSHI-USDT,DOGE-USDT,7,268.77312
True,-3.6541479868742575,0.00481,4.72235,4.90208,SAND-USDT,NEO-USDT,7,297.4299
True,-4.395109533499043,0.0003,0.01931,0.00368,LRC-USDT,DGB-USDT,7,166.79026
True,-3.9475038157995264,0.00171,2.54055,0.01086,LINA-USDT,ANKR-USDT,7,193.70407
True,-4.008229751074533,0.00137,0.81023,0.40668,SAND-USDT,THETA-USDT,7,191.30836
True,-3.2599908498391468,0.01676,0.05117,0.01836,LRC-USDT,ARPA-USDT,7,187.93528
True,-3.381116523819994,0.01162,0.50789,0.00337,LINA-USDT,STMX-USDT,7,273.14976
True,-3.0740124174764736,0.02854,0.05089,1.00303,AXS-USDT,KAVA-USDT,7,360.08923
True,-5.31205439122852,1e-05,12.7614,2.92054,LRC-USDT,LINK-USDT,7,160.74019
