is_coint,adf_statistic,p_value,hedge_ratio,intercept,base,target,zero_crossings,half_life
True,-5.52839328686645,0.0,0.72698,0.00421,COMBO-USDT,STG-USDT,306,79.87797
True,-5.4418659276554635,0.0,0.10697,0.00687,GAS-USDT,STORJ-USDT,285,69.86404
True,-5.7047323457537695,0.0,1.94889,0.01142,IOTA-USDT,SAND-USDT,277,102.45758
True,-3.0282481963778025,0.03234,0.21876,-0.0088,BOND-USDT,KAVA-USDT,273,163.31273
True,-3.232504962411726,0.01818,0.00955,0.00167,QTUM-USDT,VET-USDT,273,196.29251
True,-4.135697984255472,0.00084,5.89641,-0.02832,DODOX-USDT,LIT-USDT,265,89.61965
True,-5.784164672239291,0.0,0.4625,-0.00586,JOE-USDT,CFX-USDT,264,107.8711
True,-4.9889237596290235,2e-05,10.6715,-0.00136,WAXP-USDT,LUNA2-USDT,260,77.05745
True,-3.751365795211312,0.00345,2.79144,0.07945,LQTY-USDT,MASK-USDT,258,111.68255
True,-3.018966796793162,0.03316,0.00102,-0.00056,ETC-USDT,ACH-USDT,254,252.03191
True,-3.5976466508571185,0.00581,71.38282,0.1046,OXT-USDT,AXS-USDT,253,67.6933
True,-4.964938851876428,3e-05,0.45652,0.02121,AXS-USDT,MASK-USDT,251,109.4047
True,-3.5911677120496712,0.00593,5.11921,-0.03032,DODOX-USDT,FLOW-USDT,251,93.05458
True,-5.085099028282086,2e-05,7.97311,0.0201,REN-USDT,STG-USDT,249,81.31352
True,-3.1020875668831396,0.0264,0.00093,-0.08652,ETH-USDT,JTO-USDT,249,267.92514
True,-3.266644083132597,0.01644,2.26543,-0.01864,SXP-USDT,EOS-USDT,248,118.24501
True,-4.632995464636425,0.00011,347.28386,0.8034,T-USDT,ICP-USDT,248,95.78377
True,-3.253415626669687,0.01709,0.84099,0.01902,LIT-USDT,FLOW-USDT,244,80.2126
True,-5.642204850562049,0.0,0.20065,0.00162,CHR-USDT,REN-USDT,243,107.37301
True,-3.6718524985066363,0.00453,0.70128,0.02971,BAND-USDT,LQTY-USDT,243,141.10965
True,-2.975973887932222,0.0372,1.36147,-0.00605,CRV-USDT,LUNA2-USDT,240,90.27644
True,-5.179565156262682,1e-05,458.23056,-0.06396,AMB-USDT,BADGER-USDT,238,170.47298
True,-4.022012676642662,0.0013,4.00586,-0.21715,FIL-USDT,NMR-USDT,238,159.18732
True,-6.487029868290072,0.0,0.63983,-0.02959,PERP-USDT,KAVA-USDT,237,59.04475
True,-3.7441898362909862,0.00353,6.17623,0.09302,OP-USDT,MOVR-USDT,234,103.35984
True,-2.9720423775221634,0.03759,0.39169,0.02174,SUSHI-USDT,CRV-USDT,234,146.45206
True,-3.1320676885147645,0.02427,0.05062,-0.00014,MANA-USDT,ZIL-USDT,234,123.93274
True,-4.2025344331230965,0.00065,0.08611,0.00122,COMBO-USDT,REN-USDT,232,88.61712
True,-3.124260535014226,0.02481,0.27088,-0.00388,1INCH-USDT,NKN-USDT,232,195.50354
True,-4.109873083210506,0.00093,37.24553,0.04302,IOTA-USDT,ATOM-USDT,230,81.26012
True,-3.0729922823647478,0.02862,3.08917,0.00706,OGN-USDT,CRV-USDT,230,130.32706
