,pair,sum
144,LINK-USDT_XLM-USDT,1803
382,SUI-USDT_BIGTIME-USDT,1800
228,LPT-USDT_LEVER-USDT,1797
215,LINA-USDT_ASTR-USDT,1794
398,ZIL-USDT_BNB-USDT,1792
340,DOT-USDT_LQTY-USDT,1790
17,ENS-USDT_NEO-USDT,1779
326,MINA-USDT_ASTR-USDT,1778
288,EOS-USDT_UNI-USDT,1774
224,BADGER-USDT_MKR-USDT,1770
450,DODOX-USDT_WLD-USDT,1769
111,TRU-USDT_C98-USDT,1767
61,LPT-USDT_LQTY-USDT,1765
371,QTUM-USDT_WLD-USDT,1753
164,AMB-USDT_BSV-USDT,1747
265,SUPER-USDT_API3-USDT,1746
335,MEME-USDT_ILV-USDT,1742
445,CHZ-USDT_T-USDT,1739
253,PYTH-USDT_QTUM-USDT,1737
281,ICP-USDT_SKL-USDT,1734
131,SOL-USDT_DYDX-USDT,1731
143,LUNA2-USDT_WLD-USDT,1730
311,DODOX-USDT_UNI-USDT,1730
151,AVAX-USDT_HOT-USDT,1728
140,SUPER-USDT_T-USDT,1727
97,MEME-USDT_JOE-USDT,1720
317,ROSE-USDT_IMX-USDT,1713
343,LEVER-USDT_JASMY-USDT,1712
183,BAL-USDT_ETC-USDT,1704
233,ENS-USDT_CFX-USDT,1704
177,PENDLE-USDT_LINK-USDT,1703
354,XTZ-USDT_HIGH-USDT,1696
203,TIA-USDT_T-USDT,1690
154,ARKM-USDT_1000XEC-USDT,1689
316,AGLD-USDT_DEFI-USDT,1689
34,QTUM-USDT_TOKEN-USDT,1684
74,ASTR-USDT_LINK-USDT,1678
404,YGG-USDT_SOL-USDT,1670
301,ORDI-USDT_NEAR-USDT,1668
446,LEVER-USDT_IMX-USDT,1661
113,RLC-USDT_BAT-USDT,1657
454,SAND-USDT_BNB-USDT,1655
267,RUNE-USDT_SSV-USDT,1654
124,BAL-USDT_PHB-USDT,1653
57,ORDI-USDT_SOL-USDT,1648
156,GMX-USDT_STORJ-USDT,1645
419,TRU-USDT_BCH-USDT,1642
439,JOE-USDT_XLM-USDT,1641
413,DYDX-USDT_WLD-USDT,1632
204,RUNE-USDT_STORJ-USDT,1620
260,ARPA-USDT_1000FLOKI-USDT,1618
490,BTC-USDT_ETC-USDT,1618
78,SAND-USDT_GMT-USDT,1612
206,WAXP-USDT_AGLD-USDT,1610
9,DYDX-USDT_ANKR-USDT,1609
103,SOL-USDT_CELR-USDT,1604
390,XVG-USDT_1000PEPE-USDT,1602
205,OXT-USDT_1000XEC-USDT,1601
62,BICO-USDT_XLM-USDT,1596
318,TIA-USDT_WLD-USDT,1594
462,1INCH-USDT_1000XEC-USDT,1593
272,ETHW-USDT_1000PEPE-USDT,1593
90,COMBO-USDT_ARKM-USDT,1590
225,RUNE-USDT_KAS-USDT,1585
407,SPELL-USDT_SOL-USDT,1585
259,XVG-USDT_IOTA-USDT,1573
236,XVS-USDT_ZEC-USDT,1569
51,ARKM-USDT_BEL-USDT,1568
296,KNC-USDT_KAS-USDT,1568
63,SEI-USDT_XLM-USDT,1553
137,POWR-USDT_ICP-USDT,1552
429,POWR-USDT_ZEC-USDT,1546
232,LDO-USDT_LPT-USDT,1546
263,ROSE-USDT_POLYX-USDT,1544
306,CFX-USDT_FLOW-USDT,1530
26,ACH-USDT_1000PEPE-USDT,1524
43,SNX-USDT_AVAX-USDT,1514
406,GALA-USDT_TIA-USDT,1505
88,1INCH-USDT_STX-USDT,1502
76,HIGH-USDT_ZEC-USDT,1496
457,SFP-USDT_ONT-USDT,1492
227,QTUM-USDT_ARKM-USDT,1488
115,PYTH-USDT_TOKEN-USDT,1483
196,CKB-USDT_ATOM-USDT,1481
468,QNT-USDT_LTC-USDT,1480
355,APE-USDT_DUSK-USDT,1480
73,ROSE-USDT_IOST-USDT,1478
395,TRB-USDT_BSV-USDT,1476
31,LTC-USDT_TOKEN-USDT,1471
149,HOT-USDT_BTCDOM-USDT,1470
430,ICP-USDT_SXP-USDT,1468
229,PENDLE-USDT_KAS-USDT,1458
378,HIGH-USDT_IMX-USDT,1449
24,BAL-USDT_GRT-USDT,1447
38,BNX-USDT_BIGTIME-USDT,1444
479,ZEN-USDT_1INCH-USDT,1438
172,JOE-USDT_TLM-USDT,1436
481,UMA-USDT_TRU-USDT,1435
289,GMT-USDT_BICO-USDT,1432
319,GALA-USDT_ARB-USDT,1427
127,FET-USDT_NTRN-USDT,1424
279,IOTA-USDT_DUSK-USDT,1418
152,1INCH-USDT_MKR-USDT,1417
186,HIFI-USDT_ATOM-USDT,1416
345,EDU-USDT_PEOPLE-USDT,1411
60,CKB-USDT_STX-USDT,1395
262,KAS-USDT_BIGTIME-USDT,1394
86,DUSK-USDT_YFI-USDT,1380
239,ZEN-USDT_FLM-USDT,1367
491,BTC-USDT_DEFI-USDT,1366
379,TWT-USDT_LTC-USDT,1363
85,APT-USDT_ATOM-USDT,1357
126,BTC-USDT_CELR-USDT,1351
353,APT-USDT_CRV-USDT,1348
87,ALPHA-USDT_1000BONK-USDT,1340
166,GMX-USDT_1000XEC-USDT,1339
114,CFX-USDT_1000BONK-USDT,1330
248,RLC-USDT_BSV-USDT,1329
381,JOE-USDT_SOL-USDT,1328
325,1INCH-USDT_QNT-USDT,1324
471,CKB-USDT_WAXP-USDT,1322
244,TLM-USDT_TRX-USDT,1315
120,HBAR-USDT_LTC-USDT,1293
235,MAV-USDT_1000BONK-USDT,1282
489,CHZ-USDT_TOKEN-USDT,1274
443,USTC-USDT_GMX-USDT,1269
161,COMP-USDT_QNT-USDT,1269
358,KAVA-USDT_RUNE-USDT,1262
386,MASK-USDT_ILV-USDT,1253
83,CKB-USDT_UNI-USDT,1251
16,DUSK-USDT_UNI-USDT,1240
185,UMA-USDT_SUI-USDT,1234
36,DUSK-USDT_ONT-USDT,1225
99,SEI-USDT_UNI-USDT,1214
107,CHR-USDT_FET-USDT,1200
303,CRV-USDT_FTM-USDT,1197
22,RVN-USDT_SOL-USDT,1195
67,SOL-USDT_KSM-USDT,1178
133,VET-USDT_ONE-USDT,1178
201,ROSE-USDT_FLM-USDT,1174
480,ARKM-USDT_FTM-USDT,1160
255,KAVA-USDT_GMX-USDT,1160
25,ETC-USDT_KAS-USDT,1154
33,CKB-USDT_GALA-USDT,1141
198,BTC-USDT_COTI-USDT,1123
324,SFP-USDT_ETC-USDT,1113
130,FET-USDT_PYTH-USDT,1101
464,BNT-USDT_DUSK-USDT,1078
2,SFP-USDT_XMR-USDT,1072
122,ENS-USDT_RUNE-USDT,1062
178,BTC-USDT_ARKM-USDT,1061
81,INJ-USDT_RUNE-USDT,1055
214,CHZ-USDT_ONE-USDT,1052
247,ARPA-USDT_1000BONK-USDT,1038
452,1INCH-USDT_BTCDOM-USDT,1019
470,GALA-USDT_TRX-USDT,982
41,SUPER-USDT_ARB-USDT,966
153,DODOX-USDT_PENDLE-USDT,957
246,POWR-USDT_ROSE-USDT,947
20,SOL-USDT_BAL-USDT,935
290,KAVA-USDT_BTCDOM-USDT,924
14,ZIL-USDT_GMX-USDT,886
409,SUI-USDT_DENT-USDT,877
359,BTC-USDT_ONE-USDT,867
80,ICP-USDT_CRV-USDT,847
77,BTC-USDT_ICP-USDT,844
361,BAKE-USDT_SUI-USDT,840
72,CELO-USDT_BTCDOM-USDT,838
58,PYTH-USDT_DENT-USDT,825
59,ONG-USDT_BTCDOM-USDT,813
226,ZEN-USDT_DODOX-USDT,803
117,CKB-USDT_TRX-USDT,746
392,POLYX-USDT_BTCDOM-USDT,730
163,SFP-USDT_CAKE-USDT,712
194,BTC-USDT_ENJ-USDT,655
