,pair,sum
208,ZIL-USDT_SXP-USDT,5228
455,ZIL-USDT_LIT-USDT,5149
342,POWR-USDT_HIFI-USDT,4690
167,EOS-USDT_HOT-USDT,4599
328,TRB-USDT_USTC-USDT,4596
310,XVS-USDT_USTC-USDT,4194
329,DASH-USDT_SXP-USDT,4174
302,SAND-USDT_TRB-USDT,4172
7,HIFI-USDT_DOGE-USDT,4033
142,ZRX-USDT_QTUM-USDT,4015
182,WOO-USDT_ATA-USDT,3905
465,BNT-USDT_AXS-USDT,3901
238,HOOK-USDT_HFT-USDT,3779
193,FLM-USDT_BEL-USDT,3772
308,DASH-USDT_STEEM-USDT,3770
477,MAV-USDT_BLUR-USDT,3754
195,DENT-USDT_DEFI-USDT,3753
15,KNC-USDT_APE-USDT,3751
418,CYBER-USDT_LQTY-USDT,3748
184,CTSI-USDT_API3-USDT,3738
170,ZRX-USDT_GAS-USDT,3673
29,XTZ-USDT_ICX-USDT,3651
101,LIT-USDT_HIFI-USDT,3650
322,NKN-USDT_APE-USDT,3627
440,COMP-USDT_DODOX-USDT,3578
160,HIFI-USDT_ONT-USDT,3561
380,ALPHA-USDT_BEL-USDT,3559
385,COMBO-USDT_STEEM-USDT,3559
365,SAND-USDT_USTC-USDT,3549
241,EOS-USDT_VET-USDT,3538
91,TLM-USDT_LINK-USDT,3518
155,ZIL-USDT_YGG-USDT,3510
146,ALGO-USDT_1000SHIB-USDT,3504
425,OXT-USDT_ICX-USDT,3502
54,KNC-USDT_XRP-USDT,3462
240,HIFI-USDT_BLUR-USDT,3454
369,ONT-USDT_AXS-USDT,3415
437,NTRN-USDT_PEOPLE-USDT,3352
19,EOS-USDT_SNX-USDT,3333
349,MANA-USDT_IOTA-USDT,3328
175,MTL-USDT_BEL-USDT,3319
444,SXP-USDT_STMX-USDT,3308
410,QTUM-USDT_MTL-USDT,3291
270,WOO-USDT_RDNT-USDT,3287
46,HIFI-USDT_RIF-USDT,3239
237,JOE-USDT_HOT-USDT,3220
314,ALICE-USDT_C98-USDT,3216
449,AAVE-USDT_OGN-USDT,3214
435,OXT-USDT_EGLD-USDT,3211
150,HOOK-USDT_APE-USDT,3204
459,REEF-USDT_QTUM-USDT,3200
141,FLM-USDT_1000LUNC-USDT,3200
341,APE-USDT_THETA-USDT,3191
373,API3-USDT_FLOW-USDT,3173
197,CELO-USDT_HIFI-USDT,3172
37,THETA-USDT_ONG-USDT,3167
304,LEVER-USDT_NKN-USDT,3166
123,MEME-USDT_SFP-USDT,3143
377,COMP-USDT_OXT-USDT,3137
112,WAXP-USDT_GMT-USDT,3096
119,KAVA-USDT_ETHW-USDT,3038
53,RSR-USDT_TRB-USDT,3032
285,FLM-USDT_ONG-USDT,3026
467,IOTA-USDT_STORJ-USDT,3020
453,SAND-USDT_GTC-USDT,3013
332,PEOPLE-USDT_1000FLOKI-USDT,3012
367,TWT-USDT_JASMY-USDT,3006
257,GTC-USDT_XLM-USDT,2991
346,POWR-USDT_OGN-USDT,2991
243,BNT-USDT_XVS-USDT,2990
264,ETC-USDT_C98-USDT,2981
475,SPELL-USDT_SUSHI-USDT,2977
287,XVS-USDT_PERP-USDT,2958
383,TRU-USDT_T-USDT,2956
300,MASK-USDT_DASH-USDT,2956
374,POWR-USDT_WAXP-USDT,2952
458,RSR-USDT_ICX-USDT,2945
18,PEOPLE-USDT_API3-USDT,2940
199,HOOK-USDT_OXT-USDT,2939
11,ZIL-USDT_MAGIC-USDT,2938
292,SAND-USDT_LINK-USDT,2929
372,DASH-USDT_AXS-USDT,2928
109,SNX-USDT_FLOW-USDT,2923
356,TWT-USDT_LINA-USDT,2921
27,LEVER-USDT_FLOW-USDT,2920
498,YGG-USDT_TLM-USDT,2911
105,UMA-USDT_NMR-USDT,2906
110,NEAR-USDT_ILV-USDT,2905
219,JOE-USDT_DOGE-USDT,2901
258,ONT-USDT_1000XEC-USDT,2898
486,CELO-USDT_NKN-USDT,2887
40,EDU-USDT_API3-USDT,2886
295,GTC-USDT_IOTA-USDT,2882
75,MINA-USDT_YFI-USDT,2876
344,FXS-USDT_CRV-USDT,2876
181,BADGER-USDT_DOGE-USDT,2862
417,TLM-USDT_ETHW-USDT,2861
139,1000LUNC-USDT_BIGTIME-USDT,2855
293,BLUR-USDT_API3-USDT,2843
460,DODOX-USDT_RIF-USDT,2831
8,SAND-USDT_KSM-USDT,2828
21,LRC-USDT_VET-USDT,2820
411,FET-USDT_MTL-USDT,2817
415,LEVER-USDT_DEFI-USDT,2810
337,BAND-USDT_NTRN-USDT,2802
493,GMT-USDT_PERP-USDT,2795
393,LUNA2-USDT_HOT-USDT,2791
56,HIFI-USDT_ETHW-USDT,2786
497,HOOK-USDT_DYDX-USDT,2778
399,XRP-USDT_GAS-USDT,2773
298,HIGH-USDT_ALPHA-USDT,2769
93,OXT-USDT_GRT-USDT,2768
396,GMT-USDT_STX-USDT,2760
436,HOOK-USDT_ID-USDT,2755
200,DODOX-USDT_ONT-USDT,2737
473,COMP-USDT_BADGER-USDT,2731
338,ICP-USDT_GALA-USDT,2731
297,BAKE-USDT_KNC-USDT,2731
221,OP-USDT_SPELL-USDT,2725
173,ZRX-USDT_RUNE-USDT,2720
187,XMR-USDT_RDNT-USDT,2717
463,FIL-USDT_JASMY-USDT,2713
106,RIF-USDT_DOGE-USDT,2710
98,CKB-USDT_MASK-USDT,2694
476,SSV-USDT_DOGE-USDT,2687
447,OMG-USDT_ONT-USDT,2680
45,APE-USDT_IOST-USDT,2677
95,SAND-USDT_ENJ-USDT,2673
213,GTC-USDT_TRU-USDT,2672
330,EGLD-USDT_XVS-USDT,2670
168,SKL-USDT_DOT-USDT,2664
277,REEF-USDT_ETHW-USDT,2661
271,OXT-USDT_CHZ-USDT,2660
402,GALA-USDT_LQTY-USDT,2658
79,ADA-USDT_ASTR-USDT,2651
434,LEVER-USDT_UMA-USDT,2640
217,POWR-USDT_FLOW-USDT,2638
405,ROSE-USDT_LRC-USDT,2636
192,MAV-USDT_COTI-USDT,2635
3,CELR-USDT_1000SHIB-USDT,2630
84,ONT-USDT_BCH-USDT,2629
487,KNC-USDT_AR-USDT,2628
254,UMA-USDT_JASMY-USDT,2627
35,OXT-USDT_THETA-USDT,2615
294,ONG-USDT_CELR-USDT,2615
147,MAV-USDT_STG-USDT,2615
323,ONE-USDT_1000FLOKI-USDT,2602
313,PHB-USDT_STG-USDT,2600
118,KAVA-USDT_FLM-USDT,2597
269,SKL-USDT_1000SHIB-USDT,2587
211,NTRN-USDT_NEO-USDT,2574
212,CYBER-USDT_VET-USDT,2573
92,SNX-USDT_XRP-USDT,2570
30,ONT-USDT_BADGER-USDT,2565
216,OMG-USDT_BIGTIME-USDT,2564
188,BCH-USDT_MAGIC-USDT,2550
273,MINA-USDT_FLM-USDT,2549
116,XVG-USDT_QNT-USDT,2538
138,WAXP-USDT_LRC-USDT,2532
252,DYDX-USDT_CRV-USDT,2528
69,RDNT-USDT_ASTR-USDT,2508
132,BAKE-USDT_FXS-USDT,2507
433,XRP-USDT_BAT-USDT,2503
461,HBAR-USDT_IOTX-USDT,2495
494,AGLD-USDT_YFI-USDT,2490
320,ACH-USDT_IOTA-USDT,2490
495,LINA-USDT_ATA-USDT,2489
68,OP-USDT_MASK-USDT,2482
55,LPT-USDT_FLOW-USDT,2482
191,EDU-USDT_ADA-USDT,2471
315,BNB-USDT_ATA-USDT,2469
492,APT-USDT_DENT-USDT,2469
218,BEAMX-USDT_ETC-USDT,2467
441,LUNA2-USDT_FLOW-USDT,2459
357,BEAMX-USDT_MAGIC-USDT,2459
472,ETC-USDT_STORJ-USDT,2454
44,UMA-USDT_ILV-USDT,2439
438,SNX-USDT_ETC-USDT,2435
376,EDU-USDT_OMG-USDT,2421
482,HOT-USDT_STMX-USDT,2415
49,ETHW-USDT_1000LUNC-USDT,2414
148,OMG-USDT_ANKR-USDT,2412
394,IMX-USDT_GRT-USDT,2401
174,CKB-USDT_AR-USDT,2399
125,HOOK-USDT_ALICE-USDT,2398
108,OP-USDT_HBAR-USDT,2393
234,IOTA-USDT_ATOM-USDT,2387
427,ZRX-USDT_ATA-USDT,2374
416,LEVER-USDT_LRC-USDT,2371
400,CTSI-USDT_ASTR-USDT,2370
370,HOOK-USDT_ONE-USDT,2369
6,QNT-USDT_ASTR-USDT,2364
13,POLYX-USDT_LTC-USDT,2363
129,BAT-USDT_1000XEC-USDT,2351
321,RSR-USDT_CFX-USDT,2347
266,UMA-USDT_LQTY-USDT,2343
309,STORJ-USDT_1000LUNC-USDT,2343
389,BTC-USDT_XRP-USDT,2336
451,BAL-USDT_DOGE-USDT,2323
32,QTUM-USDT_RIF-USDT,2319
448,ONE-USDT_NMR-USDT,2319
478,WOO-USDT_SAND-USDT,2314
222,WAXP-USDT_ORDI-USDT,2313
364,1000LUNC-USDT_ATOM-USDT,2308
284,BTC-USDT_STEEM-USDT,2306
432,LIT-USDT_XTZ-USDT,2299
249,KSM-USDT_STEEM-USDT,2296
339,SPELL-USDT_ALGO-USDT,2293
401,ENS-USDT_SFP-USDT,2293
23,THETA-USDT_FTM-USDT,2288
256,BTC-USDT_IOST-USDT,2279
171,ADA-USDT_XVS-USDT,2275
165,GAS-USDT_SSV-USDT,2265
347,LINA-USDT_LTC-USDT,2263
64,SKL-USDT_GAS-USDT,2258
469,ENS-USDT_HIFI-USDT,2254
362,ENS-USDT_MTL-USDT,2247
135,LUNA2-USDT_PEOPLE-USDT,2244
1,CYBER-USDT_STMX-USDT,2242
189,PEOPLE-USDT_MAGIC-USDT,2241
426,ALPHA-USDT_PHB-USDT,2239
5,NKN-USDT_1000XEC-USDT,2231
384,POLYX-USDT_XVS-USDT,2225
242,HIGH-USDT_EGLD-USDT,2224
496,FTM-USDT_1000LUNC-USDT,2221
89,XRP-USDT_ETHW-USDT,2219
368,DOT-USDT_MAGIC-USDT,2200
251,LDO-USDT_QTUM-USDT,2198
231,1000BONK-USDT_1000XEC-USDT,2193
207,ZRX-USDT_PEOPLE-USDT,2180
169,IOST-USDT_REEF-USDT,2173
286,ROSE-USDT_1INCH-USDT,2171
333,ZEN-USDT_XMR-USDT,2167
230,BEAMX-USDT_REEF-USDT,2167
145,XMR-USDT_CELR-USDT,2159
190,YGG-USDT_GRT-USDT,2156
305,KNC-USDT_BICO-USDT,2154
456,CTSI-USDT_NMR-USDT,2154
159,ZRX-USDT_ORDI-USDT,2153
360,OGN-USDT_ETH-USDT,2151
158,BAT-USDT_FTM-USDT,2142
10,ILV-USDT_CRV-USDT,2141
66,ALGO-USDT_RIF-USDT,2135
180,GMT-USDT_ACH-USDT,2135
334,ID-USDT_JOE-USDT,2133
70,TRB-USDT_HIGH-USDT,2132
128,FXS-USDT_ETH-USDT,2129
428,ZIL-USDT_BAKE-USDT,2122
220,FET-USDT_LINA-USDT,2120
327,POWR-USDT_BAKE-USDT,2116
403,SUPER-USDT_1000SHIB-USDT,2108
488,CELO-USDT_XLM-USDT,2108
209,SUPER-USDT_AGLD-USDT,2097
179,XVG-USDT_1000FLOKI-USDT,2096
414,RVN-USDT_GAS-USDT,2093
39,STG-USDT_FLOW-USDT,2091
82,PENDLE-USDT_DOGE-USDT,2087
336,RLC-USDT_LEVER-USDT,2080
100,QNT-USDT_SPELL-USDT,2074
485,GMT-USDT_CFX-USDT,2065
420,ADA-USDT_ONT-USDT,2060
268,XTZ-USDT_STX-USDT,2060
0,SUPER-USDT_RIF-USDT,2060
250,GMT-USDT_SSV-USDT,2031
102,PEOPLE-USDT_STX-USDT,2028
466,SNX-USDT_AGLD-USDT,2027
65,LDO-USDT_FET-USDT,2026
442,ICX-USDT_BIGTIME-USDT,2022
94,ALICE-USDT_ARKM-USDT,2018
423,TLM-USDT_IMX-USDT,2016
42,NTRN-USDT_ALGO-USDT,2015
474,RLC-USDT_HIFI-USDT,2014
483,COMP-USDT_THETA-USDT,2010
245,BAKE-USDT_JASMY-USDT,2010
223,RVN-USDT_FET-USDT,2004
484,1INCH-USDT_IOTA-USDT,1994
331,NMR-USDT_ICX-USDT,1992
71,DYDX-USDT_STORJ-USDT,1989
278,GMT-USDT_DOGE-USDT,1971
312,WAXP-USDT_1INCH-USDT,1970
408,WAXP-USDT_PHB-USDT,1967
52,MASK-USDT_BLUR-USDT,1958
387,WLD-USDT_RIF-USDT,1956
350,FXS-USDT_JASMY-USDT,1952
424,ROSE-USDT_COMBO-USDT,1949
307,EGLD-USDT_MANA-USDT,1943
28,COTI-USDT_HBAR-USDT,1942
391,SUSHI-USDT_BADGER-USDT,1940
47,ARB-USDT_1000SHIB-USDT,1938
261,LEVER-USDT_QTUM-USDT,1936
50,LPT-USDT_BLUR-USDT,1934
363,MKR-USDT_API3-USDT,1927
96,NEAR-USDT_ONE-USDT,1925
282,LUNA2-USDT_ENJ-USDT,1923
388,HOOK-USDT_BICO-USDT,1922
157,HIGH-USDT_SSV-USDT,1921
210,OP-USDT_T-USDT,1920
431,AMB-USDT_ACH-USDT,1919
352,MAV-USDT_THETA-USDT,1915
299,LRC-USDT_ASTR-USDT,1911
283,NEAR-USDT_LINA-USDT,1903
274,INJ-USDT_ALPHA-USDT,1902
348,MASK-USDT_FLM-USDT,1895
397,PEOPLE-USDT_ONE-USDT,1894
276,NEO-USDT_CRV-USDT,1892
275,MEME-USDT_ZEC-USDT,1891
375,DASH-USDT_IMX-USDT,1883
121,NEAR-USDT_FTM-USDT,1878
104,QTUM-USDT_C98-USDT,1876
202,CTSI-USDT_PENDLE-USDT,1870
134,TIA-USDT_1000PEPE-USDT,1869
176,FIL-USDT_1000PEPE-USDT,1865
499,POLYX-USDT_BCH-USDT,1861
412,WLD-USDT_MAGIC-USDT,1861
12,C98-USDT_1000FLOKI-USDT,1859
4,STX-USDT_NMR-USDT,1858
291,INJ-USDT_GMX-USDT,1857
421,BAL-USDT_ICX-USDT,1852
422,ENS-USDT_BEL-USDT,1840
48,XTZ-USDT_PENDLE-USDT,1840
280,WOO-USDT_JASMY-USDT,1833
351,BAL-USDT_1000FLOKI-USDT,1833
136,DASH-USDT_MAGIC-USDT,1823
162,COMBO-USDT_NMR-USDT,1812
366,FXS-USDT_ETHW-USDT,1805
