,pair,sum
61,LPT-USDT_LQTY-USDT,2447
417,TLM-USDT_ETHW-USDT,2440
278,GMT-USDT_DOGE-USDT,2437
32,QTUM-USDT_RIF-USDT,2436
356,TWT-USDT_LINA-USDT,2436
403,SUPER-USDT_1000SHIB-USDT,2429
445,CHZ-USDT_T-USDT,2428
248,RLC-USDT_BSV-USDT,2417
497,HOOK-USDT_DYDX-USDT,2417
263,ROSE-USDT_POLYX-USDT,2414
269,SKL-USDT_1000SHIB-USDT,2413
435,OXT-USDT_EGLD-USDT,2407
183,BAL-USDT_ETC-USDT,2406
462,1INCH-USDT_1000XEC-USDT,2394
389,BTC-USDT_XRP-USDT,2383
35,OXT-USDT_THETA-USDT,2374
339,SPELL-USDT_ALGO-USDT,2372
329,DASH-USDT_SXP-USDT,2368
100,QNT-USDT_SPELL-USDT,2366
340,DOT-USDT_LQTY-USDT,2365
21,LRC-USDT_VET-USDT,2364
415,LEVER-USDT_DEFI-USDT,2361
197,CELO-USDT_HIFI-USDT,2354
5,NKN-USDT_1000XEC-USDT,2351
176,FIL-USDT_1000PEPE-USDT,2350
13,POLYX-USDT_LTC-USDT,2339
228,LPT-USDT_LEVER-USDT,2337
166,GMX-USDT_1000XEC-USDT,2336
474,RLC-USDT_HIFI-USDT,2332
104,QTUM-USDT_C98-USDT,2330
125,HOOK-USDT_ALICE-USDT,2326
216,OMG-USDT_BIGTIME-USDT,2324
295,GTC-USDT_IOTA-USDT,2322
174,CKB-USDT_AR-USDT,2319
487,KNC-USDT_AR-USDT,2318
399,XRP-USDT_GAS-USDT,2314
472,ETC-USDT_STORJ-USDT,2313
189,PEOPLE-USDT_MAGIC-USDT,2310
0,SUPER-USDT_RIF-USDT,2299
28,COTI-USDT_HBAR-USDT,2299
76,HIGH-USDT_ZEC-USDT,2297
285,FLM-USDT_ONG-USDT,2296
182,WOO-USDT_ATA-USDT,2293
157,HIGH-USDT_SSV-USDT,2292
147,MAV-USDT_STG-USDT,2291
438,SNX-USDT_ETC-USDT,2290
477,MAV-USDT_BLUR-USDT,2289
413,DYDX-USDT_WLD-USDT,2289
398,ZIL-USDT_BNB-USDT,2288
119,KAVA-USDT_ETHW-USDT,2288
41,SUPER-USDT_ARB-USDT,2288
362,ENS-USDT_MTL-USDT,2287
258,ONT-USDT_1000XEC-USDT,2287
422,ENS-USDT_BEL-USDT,2284
484,1INCH-USDT_IOTA-USDT,2283
3,CELR-USDT_1000SHIB-USDT,2282
277,REEF-USDT_ETHW-USDT,2279
461,HBAR-USDT_IOTX-USDT,2277
181,BADGER-USDT_DOGE-USDT,2272
373,API3-USDT_FLOW-USDT,2269
458,RSR-USDT_ICX-USDT,2268
351,BAL-USDT_1000FLOKI-USDT,2268
229,PENDLE-USDT_KAS-USDT,2268
282,LUNA2-USDT_ENJ-USDT,2267
74,ASTR-USDT_LINK-USDT,2264
267,RUNE-USDT_SSV-USDT,2264
449,AAVE-USDT_OGN-USDT,2262
471,CKB-USDT_WAXP-USDT,2260
284,BTC-USDT_STEEM-USDT,2260
261,LEVER-USDT_QTUM-USDT,2259
486,CELO-USDT_NKN-USDT,2257
230,BEAMX-USDT_REEF-USDT,2257
70,TRB-USDT_HIGH-USDT,2256
266,UMA-USDT_LQTY-USDT,2249
242,HIGH-USDT_EGLD-USDT,2248
315,BNB-USDT_ATA-USDT,2245
143,LUNA2-USDT_WLD-USDT,2243
11,ZIL-USDT_MAGIC-USDT,2242
65,LDO-USDT_FET-USDT,2239
129,BAT-USDT_1000XEC-USDT,2239
6,QNT-USDT_ASTR-USDT,2236
366,FXS-USDT_ETHW-USDT,2236
59,ONG-USDT_BTCDOM-USDT,2235
249,KSM-USDT_STEEM-USDT,2234
245,BAKE-USDT_JASMY-USDT,2232
383,TRU-USDT_T-USDT,2229
106,RIF-USDT_DOGE-USDT,2228
135,LUNA2-USDT_PEOPLE-USDT,2226
257,GTC-USDT_XLM-USDT,2226
42,NTRN-USDT_ALGO-USDT,2224
